Touro                NYMC
10.1.0.0/16 overlaps 10.1.0.0/16
10.7.0.0/29 overlaps 10.7.0.0/16
10.7.0.0/16 overlaps 10.7.0.0/16
10.7.5.0/24 overlaps 10.7.0.0/16
10.7.6.0/24 overlaps 10.7.0.0/16
10.7.7.0/24 overlaps 10.7.0.0/16
10.7.24.0/24 overlaps 10.7.0.0/16
10.7.25.0/24 overlaps 10.7.0.0/16
10.7.30.0/24 overlaps 10.7.0.0/16
10.7.40.0/24 overlaps 10.7.0.0/16
10.7.41.0/24 overlaps 10.7.0.0/16
10.7.42.0/23 overlaps 10.7.0.0/16
10.7.44.0/22 overlaps 10.7.0.0/16
10.7.48.0/24 overlaps 10.7.0.0/16
10.7.50.0/24 overlaps 10.7.0.0/16
10.7.53.0/24 overlaps 10.7.0.0/16
10.7.54.0/24 overlaps 10.7.0.0/16
10.7.55.0/24 overlaps 10.7.0.0/16
10.7.60.0/24 overlaps 10.7.0.0/16
10.7.61.0/24 overlaps 10.7.0.0/16
10.7.68.0/24 overlaps 10.7.0.0/16
10.7.69.0/24 overlaps 10.7.0.0/16
10.7.70.0/24 overlaps 10.7.0.0/16
10.7.80.0/24 overlaps 10.7.0.0/16
10.7.91.0/24 overlaps 10.7.0.0/16
10.7.92.0/24 overlaps 10.7.0.0/16
10.7.93.0/24 overlaps 10.7.0.0/16
10.7.100.0/24 overlaps 10.7.0.0/16
10.90.0.0/29 overlaps 10.90.0.0/16
10.90.0.0/16 overlaps 10.90.0.0/16
10.90.0.16/29 overlaps 10.90.0.0/16
10.90.40.0/24 overlaps 10.90.0.0/16
10.90.41.0/24 overlaps 10.90.0.0/16
10.90.42.0/23 overlaps 10.90.0.0/16
10.90.44.0/22 overlaps 10.90.0.0/16
10.90.48.0/24 overlaps 10.90.0.0/16
10.92.13.0/24 overlaps 10.92.0.0/16
10.92.16.0/24 overlaps 10.92.0.0/16
10.92.17.0/24 overlaps 10.92.0.0/16
10.92.18.0/24 overlaps 10.92.0.0/16
10.92.27.0/24 overlaps 10.92.0.0/16
10.92.32.0/24 overlaps 10.92.0.0/16
10.92.43.0/24 overlaps 10.92.0.0/16
10.92.45.0/24 overlaps 10.92.0.0/16
10.92.65.0/24 overlaps 10.92.0.0/16
10.92.71.0/24 overlaps 10.92.0.0/16
10.92.90.0/24 overlaps 10.92.0.0/16
10.92.95.0/24 overlaps 10.92.0.0/16
10.92.125.0/24 overlaps 10.92.0.0/16
10.92.130.0/24 overlaps 10.92.0.0/16
10.92.141.0/24 overlaps 10.92.0.0/16
10.92.150.0/24 overlaps 10.92.0.0/16
10.92.170.0/24 overlaps 10.92.0.0/16
10.92.209.0/24 overlaps 10.92.0.0/16
10.92.225.0/24 overlaps 10.92.0.0/16
10.93.13.0/24 overlaps 10.93.0.0/16
10.93.16.0/24 overlaps 10.93.0.0/16
10.93.17.0/24 overlaps 10.93.0.0/16
10.93.18.0/24 overlaps 10.93.0.0/16
10.93.27.0/24 overlaps 10.93.0.0/16
10.93.32.0/24 overlaps 10.93.0.0/16
10.93.43.0/24 overlaps 10.93.0.0/16
10.93.45.0/24 overlaps 10.93.0.0/16
10.93.65.0/24 overlaps 10.93.0.0/16
10.93.71.0/24 overlaps 10.93.0.0/16
10.93.90.0/24 overlaps 10.93.0.0/16
10.93.95.0/24 overlaps 10.93.0.0/16
